DateTime,Tactic,Server
2019-06-22T06:09:55.000Z,0,2
2019-06-22T06:09:56.948Z,4,2
2019-06-22T06:11:32.000Z,0,2
2019-06-22T06:11:33.612Z,5,2
2019-06-22T06:11:45.000Z,0,2
2019-06-22T06:11:46.694Z,1,3
2019-06-22T06:13:21.000Z,0,3
2019-06-22T06:13:22.515Z,2,3
2019-06-22T06:13:41.000Z,0,3
2019-06-22T06:13:42.943Z,3,3
2019-06-22T06:13:47.000Z,0,3
2019-06-22T06:13:48.362Z,4,3
2019-06-22T06:15:22.000Z,0,3
2019-06-22T06:15:23.235Z,5,3
2019-06-22T06:15:33.000Z,0,3
2019-06-22T06:15:34.884Z,1,4
2019-06-22T06:16:42.000Z,0,4
2019-06-22T06:16:43.503Z,2,4
2019-06-22T06:17:08.000Z,0,4
2019-06-22T06:17:09.639Z,3,4
2019-06-22T06:17:14.000Z,0,4
2019-06-22T06:17:15.825Z,4,4
2019-06-22T06:19:01.000Z,0,4
2019-06-22T06:19:02.199Z,5,4
2019-06-22T06:19:05.000Z,0,4
2019-06-22T06:19:06.835Z,1,5
2019-06-22T06:19:31.000Z,0,5
2019-06-22T06:19:32.225Z,2,5
2019-06-22T06:19:55.000Z,0,5
2019-06-22T06:19:56.256Z,3,5
2019-06-22T06:20:01.000Z,0,5
2019-06-22T06:20:02.181Z,4,5
2019-06-22T06:21:45.000Z,0,5
2019-06-22T06:21:46.321Z,5,5
2019-06-22T06:21:53.000Z,0,5
2019-06-22T06:21:54.679Z,1,6
2019-06-22T06:28:49.000Z,0,6
2019-06-22T06:28:50.566Z,2,6
2019-06-22T06:29:26.000Z,0,6
2019-06-22T06:29:27.821Z,3,6
2019-06-22T06:29:33.000Z,0,6
2019-06-22T06:29:34.123Z,4,6
2019-06-22T06:31:08.000Z,0,6
2019-06-22T06:31:09.254Z,5,6
2019-06-22T06:31:13.000Z,0,6
2019-06-22T06:31:14.369Z,1,7
2019-06-22T06:37:03.000Z,0,7
2019-06-22T06:37:04.990Z,2,7
2019-06-22T06:37:26.000Z,0,7
2019-06-22T06:37:27.876Z,3,7
2019-06-22T06:37:32.000Z,0,7
2019-06-22T06:37:33.433Z,4,7
2019-06-22T06:39:00.000Z,0,7
2019-06-22T06:39:01.613Z,5,7
2019-06-22T06:39:12.000Z,0,7
2019-06-22T06:39:13.114Z,1,8
2019-06-22T06:45:00.000Z,0,8
2019-06-22T06:45:01.078Z,2,8
2019-06-22T06:45:36.000Z,0,8
2019-06-22T06:45:37.271Z,3,8
2019-06-22T06:45:41.000Z,0,8
2019-06-22T06:45:42.660Z,4,8
2019-06-22T06:47:07.000Z,0,8
2019-06-22T06:47:08.693Z,5,8
2019-06-22T06:47:20.000Z,0,8
2019-06-22T06:47:21.428Z,1,9
2019-06-22T06:48:13.000Z,0,9
2019-06-22T06:48:14.929Z,2,9
2019-06-22T06:48:36.000Z,0,9
2019-06-22T06:48:37.896Z,3,9
2019-06-22T06:48:45.000Z,0,9
2019-06-22T06:48:46.563Z,4,9
2019-06-22T06:50:22.000Z,0,9
2019-06-22T06:50:23.232Z,5,9
2019-06-22T06:50:30.000Z,0,9
2019-06-22T06:51:01.814Z,1,1
2019-06-22T06:51:28.000Z,0,1
2019-06-22T06:51:29.555Z,2,1
2019-06-22T06:51:49.000Z,0,1
2019-06-22T06:51:50.214Z,3,1
2019-06-22T06:51:57.000Z,0,1
2019-06-22T06:51:58.690Z,4,1
2019-06-22T06:53:34.000Z,0,1
2019-06-22T06:53:35.997Z,5,1
2019-06-22T06:53:50.000Z,0,1
2019-06-22T06:53:51.100Z,1,2
2019-06-22T06:54:16.000Z,0,2
2019-06-22T06:54:17.435Z,2,2
2019-06-22T06:54:31.000Z,0,2
2019-06-22T06:54:32.553Z,3,2
2019-06-22T06:54:37.000Z,0,2
2019-06-22T06:54:38.845Z,4,2
2019-06-22T06:56:29.000Z,0,2
2019-06-22T06:56:30.448Z,5,2
2019-06-22T06:56:35.000Z,0,2
2019-06-22T06:56:36.146Z,1,3
2019-06-22T06:57:34.000Z,0,3
2019-06-22T06:57:35.937Z,2,3
2019-06-22T06:57:56.000Z,0,3
2019-06-22T06:57:57.374Z,3,3
2019-06-22T06:58:02.000Z,0,3
2019-06-22T06:58:03.562Z,4,3
2019-06-22T06:59:48.000Z,0,3
2019-06-22T06:59:49.562Z,5,3
2019-06-22T06:59:52.000Z,0,3
2019-06-22T06:59:53.478Z,1,4
2019-06-22T07:03:36.000Z,0,4
2019-06-22T07:03:37.320Z,2,4
2019-06-22T07:04:10.000Z,0,4
2019-06-22T07:04:11.946Z,3,4
2019-06-22T07:04:15.000Z,0,4
2019-06-22T07:04:16.968Z,4,4
2019-06-22T07:05:40.000Z,0,4
2019-06-22T07:05:41.673Z,5,4
2019-06-22T07:05:46.000Z,0,4
2019-06-22T07:05:47.107Z,1,5
2019-06-22T07:06:15.000Z,0,5
2019-06-22T07:06:16.931Z,2,5
2019-06-22T07:07:03.000Z,0,5
2019-06-22T07:07:04.976Z,3,5
2019-06-22T07:07:10.000Z,0,5
2019-06-22T07:07:11.089Z,4,5
2019-06-22T07:08:40.000Z,0,5
2019-06-22T07:08:41.687Z,5,5
2019-06-22T07:08:42.000Z,0,5
2019-06-22T07:08:43.379Z,1,6
2019-06-22T07:13:48.000Z,0,6
2019-06-22T07:13:49.350Z,2,6
2019-06-22T07:14:06.000Z,0,6
2019-06-22T07:14:07.742Z,3,6
2019-06-22T07:14:12.000Z,0,6
2019-06-22T07:14:13.625Z,4,6
2019-06-22T07:15:39.000Z,0,6
2019-06-22T07:15:40.689Z,5,6
2019-06-22T07:15:51.000Z,0,6
2019-06-22T07:15:52.341Z,1,7
2019-06-22T07:22:21.000Z,0,7
2019-06-22T07:22:22.943Z,2,7
2019-06-22T07:22:49.000Z,0,7
2019-06-22T07:22:50.197Z,3,7
2019-06-22T07:22:55.000Z,0,7
2019-06-22T07:22:56.443Z,4,7
2019-06-22T07:24:20.000Z,0,7
2019-06-22T07:24:21.035Z,5,7
2019-06-22T07:24:28.000Z,0,7
2019-06-22T07:24:29.114Z,1,8
2019-06-22T07:29:57.000Z,0,8
2019-06-22T07:29:58.485Z,2,8
2019-06-22T07:30:22.000Z,0,8
2019-06-22T07:30:23.357Z,3,8
2019-06-22T07:30:28.000Z,0,8
2019-06-22T07:30:29.523Z,4,8
2019-06-22T07:32:05.000Z,0,8
2019-06-22T07:32:06.913Z,5,8
2019-06-22T07:32:27.000Z,0,8
2019-06-22T07:32:28.004Z,1,9
2019-06-22T07:33:23.000Z,0,9
2019-06-22T07:33:24.254Z,2,9
2019-06-22T07:33:59.000Z,0,9
2019-06-22T07:34:00.037Z,3,9
2019-06-22T07:34:19.000Z,0,9
2019-06-22T07:34:20.851Z,4,9
2019-06-22T07:36:04.000Z,0,9
2019-06-22T07:36:05.707Z,5,9
2019-06-22T07:36:08.000Z,0,9
2019-06-22T07:36:39.291Z,1,1
2019-06-22T07:37:13.000Z,0,1
2019-06-22T07:37:14.528Z,2,1
2019-06-22T07:37:39.000Z,0,1
2019-06-22T07:37:40.572Z,3,1
2019-06-22T07:37:45.000Z,0,1
2019-06-22T07:37:46.719Z,4,1
2019-06-22T07:39:21.000Z,0,1
2019-06-22T07:39:22.561Z,5,1
2019-06-22T07:39:38.000Z,0,1
2019-06-22T07:39:39.983Z,1,2
2019-06-22T07:39:59.000Z,0,2
2019-06-22T07:40:00.254Z,2,2
2019-06-22T07:40:32.000Z,0,2
2019-06-22T07:40:33.950Z,3,2
2019-06-22T07:40:39.000Z,0,2
2019-06-22T07:40:40.038Z,4,2
2019-06-22T07:42:13.000Z,0,2
2019-06-22T07:42:14.768Z,5,2
