2019-07-22T00:19:49.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:49.000Z', 0,9);"
2019-07-22T00:19:50.354Z,3,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:19:50.354Z', 3,9);"
2019-07-22T00:20:40.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:20:40.000Z', 0,9);"
2019-07-22T00:20:41.013Z,4,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:20:41.013Z', 4,9);"
2019-07-22T00:20:41.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:20:41.000Z', 0,9);"
2019-07-22T00:20:42.101Z,5,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:20:42.101Z', 5,9);"
2019-07-22T00:20:42.000Z,0,9,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:20:42.000Z', 0,9);"
2019-07-22T00:21:13.110Z,1,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:21:13.110Z', 1,1);"
2019-07-22T00:21:13.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:21:13.000Z', 0,1);"
2019-07-22T00:21:14.615Z,2,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:21:14.615Z', 2,1);"
2019-07-22T00:21:14.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:21:14.000Z', 0,1);"
2019-07-22T00:21:15.634Z,3,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:21:15.634Z', 3,1);"
2019-07-22T00:22:16.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:16.000Z', 0,1);"
2019-07-22T00:22:17.805Z,4,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:17.805Z', 4,1);"
2019-07-22T00:22:17.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:17.000Z', 0,1);"
2019-07-22T00:22:18.908Z,5,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:18.908Z', 5,1);"
2019-07-22T00:22:18.000Z,0,1,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:18.000Z', 0,1);"
2019-07-22T00:22:19.917Z,1,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:19.917Z', 1,2);"
2019-07-22T00:22:20.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:20.000Z', 0,2);"
2019-07-22T00:22:21.174Z,2,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:21.174Z', 2,2);"
2019-07-22T00:22:21.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:21.000Z', 0,2);"
2019-07-22T00:22:22.191Z,3,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:22:22.191Z', 3,2);"
2019-07-22T00:23:11.000Z,0,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:23:11.000Z', 0,2);"
2019-07-22T00:23:12.203Z,4,2,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:23:12.203Z', 4,2);"
