Date,Current(mA),Power(mW),Is_Active,Tactic
2019-6-3T0:0:17:830,297.45,1521.52,1,1
2019-6-3T0:0:17:935,312.00,1600.06,1,1
2019-6-3T0:0:18:41,311.70,1587.74,1,1
2019-6-3T0:0:18:147,307.85,1529.22,1,1
2019-6-3T0:0:18:252,311.31,1687.84,1,1
2019-6-3T0:0:18:358,294.14,1680.14,1,1
2019-6-3T0:0:18:464,301.99,1580.04,1,1
2019-6-3T0:0:18:569,302.38,1524.60,1,1
2019-6-3T0:0:18:675,299.68,1566.18,1,1
2019-6-3T0:0:18:782,302.15,1556.94,1,1
2019-6-3T0:0:18:888,297.60,1541.54,1,1
2019-6-3T0:0:18:994,299.61,1536.92,1,1
2019-6-3T0:0:19:99,300.84,1538.46,1,1
2019-6-3T0:0:19:205,301.15,1532.30,1,1
2019-6-3T0:0:19:311,304.92,1561.56,1,1
2019-6-3T0:0:19:420,296.83,1569.26,1,1
2019-6-3T0:0:19:525,295.60,1509.20,1,1
2019-6-3T0:0:19:631,315.08,1624.70,1,1
2019-6-3T0:0:19:737,310.23,1566.18,1,1
2019-6-3T0:0:19:842,303.92,1541.54,1,1
2019-6-3T0:0:19:948,308.31,1544.62,1,1
2019-6-3T0:0:20:54,302.23,1533.84,1,1
2019-6-3T0:0:20:159,297.60,1580.04,1,1
2019-6-3T0:0:20:265,302.53,1569.26,1,1
2019-6-3T0:0:20:371,303.84,1538.46,1,1
2019-6-3T0:0:20:477,303.38,1593.90,1,1
2019-6-3T0:0:20:582,302.92,1538.46,1,1
2019-6-3T0:0:20:688,299.14,1532.30,1,1
2019-6-3T0:0:20:794,299.68,1552.32,1,1
2019-6-3T0:0:20:899,308.85,1569.26,1,1
2019-6-3T0:0:21:5,302.99,1546.16,1,1
2019-6-3T0:0:21:111,302.99,1564.64,1,1
2019-6-3T0:0:21:216,301.69,1532.30,1,1
2019-6-3T0:0:21:322,296.68,1566.18,1,1
2019-6-3T0:0:21:428,291.75,1506.12,1,1
2019-6-3T0:0:21:533,315.93,1640.10,1,1
2019-6-3T0:0:21:639,292.14,1489.18,1,1
2019-6-3T0:0:21:744,314.01,1612.38,1,1
2019-6-3T0:0:21:850,302.69,1576.96,1,1
2019-6-3T0:0:21:956,311.54,1544.62,1,1
2019-6-3T0:0:22:61,306.69,1526.14,1,1
2019-6-3T0:0:22:167,314.93,1601.60,1,1
2019-6-3T0:0:22:273,306.69,1569.26,1,1
2019-6-3T0:0:22:378,312.70,1584.66,1,1
2019-6-3T0:0:22:484,330.33,1569.26,1,1
2019-6-3T0:0:22:590,307.69,1683.22,1,1
2019-6-3T0:0:22:695,317.62,1754.06,1,1
2019-6-3T0:0:22:801,308.08,1572.34,1,1
2019-6-3T0:0:22:907,305.84,1706.32,1,1
2019-6-3T0:0:23:12,306.84,1576.96,1,1
2019-6-3T0:0:23:118,312.93,1556.94,1,1
2019-6-3T0:0:23:224,331.10,1552.32,1,1
2019-6-3T0:0:23:329,344.11,1569.26,1,1
2019-6-3T0:0:23:435,303.23,1730.96,1,1
2019-6-3T0:0:23:541,314.08,1683.22,1,1
2019-6-3T0:0:23:646,294.14,1504.58,1,1
2019-6-3T0:0:23:752,345.27,1587.74,1,1
2019-6-3T0:0:23:858,293.22,1524.60,1,1
2019-6-3T0:0:23:963,293.99,1509.20,1,1
2019-6-3T0:0:24:69,312.00,1580.04,1,1
2019-6-3T0:0:24:175,311.39,1587.74,1,1
2019-6-3T0:0:24:280,311.85,1607.76,1,1
