,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
3075,2020-04-10 05:38:27.000278,0.006288887402154279,0.0584828040427092,0.05078125,1,2020-04-10 05:35:45.000568,0.010941960038058992,1,0.03813890572434935,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3080,2020-04-10 05:43:43.000736,0.0014049642068642535,0.05090621531700379,0.0625,1,2020-04-10 05:43:13.000096,0.0020388745412532284,1,0.03827505336108989,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3085,2020-04-10 05:50:05.000537,0.0031444437010771393,0.052562150597043895,0.052734375,1,2020-04-10 05:49:23.000283,0.0028544243577545195,1,0.03849025446432493,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3090,2020-04-10 05:52:04.000771,0.002542316183849602,0.06673975285396214,0.05468749999999999,1,2020-04-10 05:50:47.000388,0.005233111322549952,1,0.05545600674589581,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3095,2020-04-10 06:03:21.000121,0.01431725429852144,0.15031981559819016,0.04492187499999999,1,2020-04-10 06:00:53.000526,0.00999048525214082,1,0.03982977153548184,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3100,2020-04-10 06:07:55.000778,0.003211346758546865,0.12549041701657268,0.02734375,1,2020-04-10 06:07:33.000477,0.0014951746635857009,1,0.03882403576730173,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3105,2020-04-10 06:10:45.000156,0.0013380611493945273,0.04050392277870303,0.076171875,1,2020-04-10 06:10:01.000099,0.0029903493271714013,1,0.03855613235307035,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3110,2020-04-10 06:15:40.000181,0.010771392252625946,0.048172624900241885,0.0703125,1,2020-04-10 06:15:23.000374,0.001087399755335055,1,0.037506477992393296,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3115,2020-04-10 06:18:35.000498,0.0006690305746972638,0.09426912811570863,0.03710937499999999,1,2020-04-10 06:17:43.000166,0.003534049204838929,1,0.03854295677532127,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3120,2020-04-10 06:22:36.000620,0.0011373519769853485,0.050549372224836735,0.06445312499999999,1,2020-04-10 06:22:24.000647,0.0007475873317928503,1,0.03861761838256608,0.0,0.0,0.0,0.0,1.0,0.0,0.0
